セグメント,会社名（正式）,会社名（略称）,理由,商談件数,受注件数,最大受注額,最終接点日,取引ステータス,業種
A,株式会社和合コンサルタント,和合コンサルタント,"受注あり + 高単価（最大4,500,000円）",0,1,"4,500,000",,取引中,建設コンサル
A,ダイシンコンサルタント 株式会社,ダイシンコンサルタント 株式会社,"受注あり + 高単価（最大2,454,000円） / リピーター（受注3件）",0,3,"2,454,000",,未接触,"測量会社, 建設コンサル"
A,株式会社 アクト,株式会社 アクト,"受注実績あり（1件, 最大125,909円）",0,1,"125,909",2023-09-12,未接触,測量会社
A,太平産業株式会社,太平産業株式会社,"受注実績あり（1件, 最大393,000円）",1,1,"393,000",2025-11-06,見込み,
A,名工建設,名工建設,"受注実績あり（1件, 最大30,000円）",3,1,"30,000",2025-10-02,見込み,
A,清水建設,清水建設,"受注あり + 高単価（最大500,000円） / リピーター（受注2件）",3,2,"500,000",2025-09-19,見込み,
A,名工建設or鈴中工業,名工建設or鈴中工業,"受注実績あり（1件, 最大30,000円）",1,1,"30,000",2025-09-05,見込み,
A,前田建設,前田建設,受注あり + リピーター（受注6件）,1,6,"200,000",2025-08-26,見込み,
A,前田建設工業株式会社,前田建設工業株式会社,受注あり + リピーター（受注6件）,1,6,"200,000",2025-08-22,見込み,
A,東急建設,東急建設,"受注あり + 高単価（最大500,000円）",1,1,"500,000",2025-08-01,見込み,
B,アマノコンサルタント 株式会社,アマノコンサルタント 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,未接触,建設コンサル
B,アローコンサルタント 株式会社,アローコンサルタント 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-02-24,未接触,建設コンサル
B,イッセイコンサルタント 株式会社,イッセイコンサルタント 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-04,未接触,"測量会社, 建設コンサル"
B,コムワークスエンジニアリング 株式会社,コムワークスエンジニアリング 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-03,未接触,測量会社
B,ナカシャクリエイテブ 株式会社,ナカシャクリエイテブ 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-03,未接触,測量会社
B,ニチイコンサルタント 株式会社,ニチイコンサルタント 株式会社,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-05,未接触,"測量会社, 建設コンサル"
B,三協調査設計 株式会社,三協調査設計 株式会社,"商談あり（ステージ: None, 未受注）",1,0,,2025-12-05,未接触,測量会社
B,三重測量設計 株式会社,三重測量設計 株式会社,"商談あり（ステージ: None, 未受注）",2,0,,2026-01-23,未接触,"測量会社, 建設コンサル"
B,三重県森林組合連合会,三重県森林組合連合会,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-03-06,未接触,測量会社
B,中部復建 株式会社,中部復建 株式会社,"商談あり（ステージ: 不在, 未受注）",1,0,,2026-03-03,未接触,測量会社
B,丸栄調査設計 株式会社,丸栄調査設計 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",3,0,,2026-03-06,未接触,建設コンサル
B,信栄測量設計 株式会社,信栄測量設計 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2026-02-20,未接触,"測量会社, 建設コンサル"
B,加藤コンサルタント 株式会社,加藤コンサルタント 株式会社,"商談あり（ステージ: ヒアリング, 未受注）",1,0,,2025-11-20,未接触,"測量会社, 建設コンサル"
B,南海カツマ 株式会社,南海カツマ 株式会社,"商談あり（ステージ: 不在, 未受注）",2,0,,2026-02-13,未接触,"測量会社, 建設コンサル"
